Indicators,Units,Year,Value
Total Outstanding Debt/GDP,In %,2013/14,28.2
Outstanding Domestic Debt/GDP,In %,2013/14,10.5
Outstanding Foreign Debt/GDP,In %,2013/14,17.7
Outstanding Foreign Debt/Revenue,In %,2013/14,97.3
"Debt  Service  (Principal  &  Interest
payment)/Recurrent Expenditure",In %,2013/14,17.8
"Outstanding  Foreign  Debt/Foreign
Exchange Reserve",In %,2013/14,52.1
Revenues,"Annual %
Change",2014/15,13.8
Total Government Expenditures,"Annual %
Change",2014/15,22.2
Recurrent Expenditure,"Annual %
Change",2014/15,11.8
Capital Expenditure,"Annual %
Change",2014/15,33.2
Financing,-,2014/15,59.3
Principal Payments,"Annual %
Change",2014/15,53.9
Debt Servicing  (Principal & Interest),"Annual %
Change",2014/15,36.7
Revenue/GDP,In %,2014/15,19.1
Tax Revenue/GDP,In %,2014/15,16.7
Non-Tax Revenue/GDP,In %,2014/15,2.3
"Total Government
Expenditures/GDP",In %,2014/15,25
Recurrent Expenditure/GDP,In %,2014/15,15.9
Capital Expenditure/GDP,In %,2014/15,4.2
Financing,-,2014/15,4.8
Principal Payments/GDP,In %,2014/15,3
Debt Servicing (Principal & Interest)/GDP,In %,2014/15,3.5
Budget Deficit/GDP,In %,2014/15,3.8
Total Outstanding Debt,"Rs. in
Billion",2014/15,544.9
Outstanding Domestic Debt,Rs. in Billion,2014/15,201.7
Outstanding Foreign Debt,Rs. in Billion,2014/15,343.3
Per Capita Outstanding Debt,Rs.,2014/15,19493
Total Outstanding Debt/GDP,In %,2014/15,25.6
Outstanding Domestic Debt/GDP,In %,2014/15,9.5
Outstanding Foreign Debt/GDP,In %,2014/15,16.1
Outstanding Foreign Debt/Revenue,In %,2014/15,84.6
"Debt  Service  (Principal  &  Interest
payment)/Recurrent Expenditure",In %,2014/15,21.7
"Outstanding  Foreign  Debt/Foreign
Exchange Reserve",In %,2014/15,41.7
Revenues,"Annual %
Change",2015/16,18.7
Total Government Expenditures,"Annual %
Change",2015/16,13.1
Recurrent Expenditure,"Annual %
Change",2015/16,9.4
Capital Expenditure,"Annual %
Change",2015/16,38.7
Financing,-,2015/16,2.3
Principal Payments,"Annual %
Change",2015/16,7
Debt Servicing  (Principal & Interest),"Annual %
Change",2015/16,4.2
Revenue/GDP,In %,2015/16,21.4
Tax Revenue/GDP,In %,2015/16,18.7
Non-Tax Revenue/GDP,In %,2015/16,2.7
"Total Government
Expenditures/GDP",In %,2015/16,26.7
Recurrent Expenditure/GDP,In %,2015/16,16.5
Capital Expenditure/GDP,In %,2015/16,5.5
Financing,-,2015/16,4.7
Principal Payments/GDP,In %,2015/16,3.1
Debt Servicing (Principal & Interest)/GDP,In %,2015/16,3.4
Budget Deficit/GDP,In %,2015/16,3.1
Total Outstanding Debt,"Rs. in
Billion",2015/16,627.8
Outstanding Domestic Debt,Rs. in Billion,2015/16,239
Outstanding Foreign Debt,Rs. in Billion,2015/16,388.8
Per Capita Outstanding Debt,Rs.,2015/16,22159
Total Outstanding Debt/GDP,In %,2015/16,27.9
Outstanding Domestic Debt/GDP,In %,2015/16,10.6
Outstanding Foreign Debt/GDP,In %,2015/16,17.3
Outstanding Foreign Debt/Revenue,In %,2015/16,80.7
"Debt  Service  (Principal  &  Interest
payment)/Recurrent Expenditure",In %,2015/16,20.7
"Outstanding  Foreign  Debt/Foreign
Exchange Reserve",In %,2015/16,37.4
Revenues,"Annual %
Change",2016/17P,20.2
Total Government Expenditures,"Annual %
Change",2016/17P,55.7
Recurrent Expenditure,"Annual %
Change",2016/17P,51.3
Capital Expenditure,"Annual %
Change",2016/17P,112.6
Financing,-,2016/17P,6.2
Principal Payments,"Annual %
Change",2016/17P,-36.9
Debt Servicing  (Principal & Interest),"Annual %
Change",2016/17P,-13.9
Revenue/GDP,In %,2016/17P,22.3
Tax Revenue/GDP,In %,2016/17P,19.5
Non-Tax Revenue/GDP,In %,2016/17P,2.8
"Total Government
Expenditures/GDP",In %,2016/17P,36
Recurrent Expenditure/GDP,In %,2016/17P,21.6
Capital Expenditure/GDP,In %,2016/17P,10.1
Financing,-,2016/17P,4.3
Principal Payments/GDP,In %,2016/17P,1.7
Debt Servicing (Principal & Interest)/GDP,In %,2016/17P,2.5
Budget Deficit/GDP,In %,2016/17P,6.5
Total Outstanding Debt,"Rs. in
Billion",2016/17P,624.5
Outstanding Domestic Debt,Rs. in Billion,2016/17P,233.2
Outstanding Foreign Debt,Rs. in Billion,2016/17P,391.3
Per Capita Outstanding Debt,Rs.,2016/17P,21749
Total Outstanding Debt/GDP,In %,2016/17P,24.1
Outstanding Domestic Debt/GDP,In %,2016/17P,9
Outstanding Foreign Debt/GDP,In %,2016/17P,15.1
Outstanding Foreign Debt/Revenue,In %,2016/17P,67.5
"Debt  Service  (Principal  &  Interest
payment)/Recurrent Expenditure",In %,2016/17P,5.7
"Outstanding  Foreign  Debt/Foreign
Exchange Reserve",In %,2016/17P,35.9
